Day,Dept,Section,Time,Teacher,Course,Room
Mon,EEE,EEE 3A,8:30-9:20,JAA,EEE-202,EEE Lab
Mon,EEE,EEE 3A,9:25-10:15,JAA,EEE-202,EEE Lab
Mon,EEE,EEE 3A,10:20-11:10,JAA,EEE-202,EEE Lab
Mon,EEE,EEE 3A,11:40-12:30,JAA,EEE-201,403
Mon,EEE,EEE 3A,12:35-1:25,BCG,EEE-203,403
Mon,EEE,EEE 3A,1:40-2:30,PK,MATH-205,303
Mon,EEE,EEE 2A,8:30-9:20,PK,"MATH-
105",402
Mon,EEE,EEE 2A,9:25-10:15,MM,PHy-103,403
Mon,EEE,EEE 2A,10:20-11:10,MMBS,CSE-109,401
Mon,EEE,EEE 2A,11:40-12:30,SMA,GES-101,402
Mon,EEE,EEE 1A,8:30-9:20,SSI,Phy-101,404
Mon,EEE,EEE 1A,11:40-12:30,TH,Chem-101,404
Mon,EEE,EEE 1A,1:40-2:30,MWU,MATH-101,402
Mon,CE,CE 3A,8:30-9:20,NRK,CE 262,301
Mon,CE,CE 3A,9:25-10:15,NRK,CE 262,301
Mon,CE,CE 3A,10:20-11:10,NRK,CE 262,301
Mon,CE,CE 3A,11:40-12:30,HR,GEE  201,306
Mon,CE,CE 3A,12:35-1:25,MSH,CE 211,301
Mon,CE,CE 2A,8:30-9:20,MSH,CE 102,"CSE
Lab 1"
Mon,CE,CE 2A,9:25-10:15,MSH,CE 102,"CSE  Lab
1"
Mon,CE,CE 2A,10:20-11:10,MSH,CE 102,"CSE  Lab
1"
Mon,CE,CE 2A,11:40-12:30,SSI,GES  101,402
Mon,CE,CE 2A,12:35-1:25,RHS,CE 103,306
Mon,CE,CE 1A,8:30-9:20,TH,"CHEM
102","CHEM
LAB"
Mon,CE,CE 1A,9:25-10:15,TH,"CHEM
102","CHEM
LAB"
Mon,CE,CE 1A,10:20-11:10,TH,"CHEM
102","CHEM
LAB"
Mon,CE,CE 1A,11:40-12:30,MSH,CE 101,301
Mon,CE,CE 1A,12:35-1:25,TH,"CHEM
101",401
Mon,CE,CE 1A,1:40-2:30,MWU,"MATH
101",402
Mon,ME,ME 3A,9:25-10:15,KAH,ME 205,401
Mon,ME,ME 3A,10:20-11:10,MMBS,CSE 275,401
Mon,ME,ME 3A,11:40-12:30,SMA,GES 307,402
Mon,ME,ME 3A,1:40-2:30,MH/PM,ME 247,401
Mon,ME,ME 2A,8:30-9:20,TH,"CHEM
102","CHEM
LAB"
Mon,ME,ME 2A,9:25-10:15,TH,"CHEM
102","CHEM
LAB"
Mon,ME,ME 2A,10:20-11:10,TH,"CHEM
102","CHEM
LAB"
Mon,ME,ME 2A,11:40-12:30,PM/AH,ME 193,401
Mon,ME,ME 2A,12:35-1:25,TH,CHEM 101,401
Mon,ME,ME 1A,8:30-9:20,PM+MH,ME 104,"THERMO
LAB"
Mon,ME,ME 1A,9:25-10:15,PM+MH,ME 104,"THERMO
LAB"
Mon,ME,ME 1A,10:20-11:10,PM+MH,ME 104,"THERMO
LAB"
Mon,ME,ME 1A,11:40-12:30,MHKB+MH,ME 161,304
Mon,ME,ME 1A,12:35-1:25,MHKB+MH,ME 161,304
Mon,ME,ME 1A,1:40-2:30,MWU,MATH 101,402
Mon,ENG,ENG 1A,9:25-10:15,SSI,ENG 1104,304
Mon,ENG,ENG 1A,10:20-11:10,SSI,ENG 1104,304
Mon,ENG,ENG 1A,11:40-12:30,MMBS,CSE 1106,CSE L1
Mon,ENG,ENG 1A,12:35-1:25,MMBS,CSE 1106,CSE L1
Mon,ENG,ENG 1A,1:40-2:30,MMBS,CSE 1106,CSE L1
Mon,DBA,DBA 1A,8:30-9:20,SHG,BBA-1104,R-306
Mon,DBA,DBA 1A,9:25-10:15,SMA,HUM-1111,R-306
Mon,DBA,DBA 1A,10:20-11:10,SMA,HUM- 1105,R-306
Mon,DBA,DBA 1A,11:40-12:30,Activities,Activities,Activities
Mon,DBA,DBA 1A,12:35-1:25,MWU,BBA-1102,R-402
Tue,CSE,CSE 4A,8:30-9:20,"MHKB/
MAR","GELM
275",302
Tue,CSE,CSE 4A,9:25-10:15,SNH,CSE 219,302
Tue,CSE,CSE 4A,10:20-11:10,ABA,CSE-213,302
Tue,CSE,CSE 4A,11:40-12:30,MSH,CE 250,CSE Lab 1
Tue,CSE,CSE 4A,12:35-1:25,MSH,CE 250,CSE Lab 1
Tue,CSE,CSE 4A,1:40-2:30,MSH,CE 250,CSE Lab 1
Tue,CSE,CSE 3A,8:30-9:20,SNH,CSE 205,303
Tue,CSE,CSE 3A,10:20-11:10,PK,"MATH
205",EEE's room
Tue,CSE,CSE 3A,11:40-12:30,MMHK,CSE-204,CSE Lab 2
Tue,CSE,CSE 3A,12:35-1:25,MMHK,CSE-204,CSE Lab 2
Tue,CSE,CSE 3A,1:40-2:30,MMHK,CSE-204,CSE Lab 2
Tue,CSE,CSE 2A,9:25-10:15,PK,"MATH
105",402
Tue,CSE,CSE 2A,10:20-11:10,MMHK,CSE 105,404
Tue,CSE,CSE 2A,11:40-12:30,AR,CSE-104,EEE Lab
Tue,CSE,CSE 2A,12:35-1:25,AR,CSE-104,EEE Lab
Tue,CSE,CSE 2A,1:40-2:30,AR,CSE-104,EEE Lab
Tue,CSE,"CSE 1A
(Even)",8:30-9:20,"MATH
101",MWU,402
Tue,CSE,"CSE 1A
(Even)",9:25-10:15,ZT,EEE 163,303
Tue,CSE,"CSE 1A
(Even)",10:20-11:10,SMA,"GEBS
101",303
Tue,CSE,"CSE 1A
(Even)",11:40-12:30,MM,PHY 101,303
Tue,CSE,"CSE 1A
(Even)",12:35-1:25,SNH,CSE 101,303
Tue,CSE,"CSE 1A
(Even)",1:40-2:30,MA,CHEM 101,303
Tue,EEE,EEE 3A,8:30-9:20,AH,ME-283,403
Tue,EEE,EEE 3A,9:25-10:15,JAA,EEE-201,403
Tue,EEE,EEE 3A,10:20-11:10,PK,"MATH-
205",403
Tue,EEE,EEE 3A,11:40-12:30,BCG,EEE-203,403
Tue,EEE,EEE 3A,12:35-1:25,JAA,EEE-201,403
Tue,EEE,EEE 2A,8:30-9:20,MMBS,CSE-109,401
Tue,EEE,EEE 2A,9:25-10:15,PK,"MATH-
105",402
Tue,EEE,EEE 2A,11:40-12:30,SMA,GES-101,402
Tue,EEE,EEE 2A,12:35-1:25,MM,PHy-103,302
Tue,EEE,EEE 1A,8:30-9:20,JAA,EEE-101,404
Tue,EEE,EEE 1A,9:25-10:15,TH,Chem-101,404
Tue,EEE,EEE 1A,10:20-11:10,MWU,"MATH-
101",402
Tue,EEE,EEE 1A,11:40-12:30,JAA,EEE-101,404
Tue,CE,CE3A,9:25-10:15,MSH,CE 211,301
Tue,CE,CE3A,10:20-11:10,NRK,CE 203,306
Tue,CE,CE3A,11:40-12:30,RHS,CE 261,301
Tue,CE,CE3A,12:35-1:25,PK,MATH 201,401
Tue,CE,CE3A,1:40-2:30,PK,MATH 201,401
Tue,CE,CE 2A,8:30-9:20,NR,EEE 165,304
Tue,CE,CE 2A,10:20-11:10,RHS,CE 103,301
Tue,CE,CE 2A,11:40-12:30,SSI,GES-101,402
Tue,CE,CE 2A,12:35-1:25,NR,EEE 165,402
Tue,CE,CE 1A,8:30-9:20,MSH,CE 101,301
Tue,CE,CE 1A,9:25-10:15,SS,PHY 101,304
Tue,CE,CE 1A,10:20-11:10,MWU,"MATH
101",402
Tue,CE,CE 1A,11:40-12:30,TH,"CHEM
101",304
Tue,ME,ME3A,8:30-9:20,MMBS,CSE 275,401
Tue,ME,ME3A,9:25-10:15,MH/PM,ME 247,401
Tue,ME,ME3A,11:40-12:30,SMA,GES 307,402
Tue,ME,ME3A,12:35-1:25,PK,MATH 201,401
Tue,ME,ME3A,1:40-2:30,PK,MATH 201,401
Tue,ME,ME 2A,8:30-9:20,AUK,EEE 174,EEE lab
Tue,ME,ME 2A,9:25-10:15,AUK,EEE 174,EEE lab
